gene	geneName	baseMean	log2FC	stderror	padj
CNAG_06718	NA	2.97	4.729	1.453	0.006929
CNAG_01368	NA	4.681	4.364	1.352	0.00745
CNAG_02582	NA	2.042	4.186	1.567	0.03164
CNAG_00813	NA	5.378	3.693	1.181	0.009772
CNAG_02044	NA	7.052	3.273	1.003	0.006761
CNAG_07795	NA	8.01	3.25	0.891	0.002092
CNAG_02706	NA	126.32	3.203	0.241	1.996e-37
CNAG_07493	NA	245.533	2.924	0.188	1.345e-51
CNAG_01936	NA	21.148	2.217	0.466	3.036e-5
CNAG_07347	NA	1655.765	2.197	0.109	5.302999999999999e-87
CNAG_04553	NA	115.6	2.176	0.243	4.083e-17
CNAG_05356	NA	68.868	2.069	0.264	4.42e-13
CNAG_07663	NA	23.336	2.055	0.469	1.468e-4
CNAG_07648	NA	57.706	1.962	0.287	5.093e-10
CNAG_00162	AOX1	212.864	1.928	0.169	1.574e-27
CNAG_04337	NA	27.77	1.92	0.4	2.55e-5
CNAG_03971	NA	26.564	1.889	0.41	5.784e-5
CNAG_01937	NA	26.986	1.883	0.415	7.748e-5
CNAG_07486	NA	145.36	1.856	0.187	7.039e-21
CNAG_02701	NA	905.015	1.844	0.156	7.464e-30
CNAG_01750	NA	3920.511	1.829	0.098	3.7269999999999996e-74
CNAG_07448	DUR3	43.148	1.804	0.312	2.399e-7
CNAG_00699	LPI15	221.309	1.803	0.159	2.054e-27
CNAG_04154	NA	21.911	1.728	0.447	0.001011
CNAG_05334	NA	12.291	1.693	0.573	0.01569
CNAG_06389	NA	119.046	1.69	0.218	7.757e-13
CNAG_03461	NA	730.324	1.671	0.124	2.937e-38
CNAG_04582	NA	15.945	1.663	0.512	0.007069
CNAG_03407	NA	28.348	1.648	0.397	3.527e-4
CNAG_07642	NA	64.229	1.636	0.272	6.402e-8
CNAG_01960	NA	3143.073	1.621	0.132	3.5160000000000004e-32
CNAG_07476	NA	157.742	1.62	0.21	9.503000000000001e-13
CNAG_06296	NA	32.13	1.613	0.352	6.38e-5
CNAG_02691	NA	552.215	1.608	0.286	5.242e-7
CNAG_03754	ISP1	18.689	1.58	0.473	0.005388
CNAG_03347	NA	831.396	1.579	0.122	1.402e-35
CNAG_05016	NA	26.441	1.576	0.389	5.172e-4
CNAG_00283	NA	70.949	1.53	0.259	1.186e-7
CNAG_01349	NA	55.339	1.524	0.281	1.437e-6
CNAG_07731	NA	125.75	1.522	0.197	9.394e-13
CNAG_00454	NA	9.876	1.52	0.614	0.04932
CNAG_03087	NA	16.896	1.491	0.47	0.008729
CNAG_05412	NA	367.375	1.48	0.158	8.696e-19
CNAG_05461	NA	14.746	1.478	0.523	0.02194
CNAG_01093	NA	791.936	1.471	0.137	1.427e-24
CNAG_03238	NA	93.381	1.471	0.213	2.84e-10
CNAG_00867	ITR3A	44.567	1.469	0.301	1.833e-5
CNAG_03204	NA	224.596	1.469	0.155	5.871e-19
CNAG_03107	NA	11.322	1.468	0.582	0.04442
CNAG_05087	NA	13.089	1.468	0.545	0.02998
CNAG_06935	NA	24915.852	1.467	0.113	4.7429999999999994e-36
CNAG_02659	NA	35.219	1.466	0.333	1.331e-4
CNAG_05938	NA	20.674	1.456	0.439	0.005814
CNAG_06052	GAL7	127.794	1.416	0.196	3.397e-11
CNAG_00251	NA	20.92	1.405	0.422	0.005503
CNAG_06391	NA	12.301	1.398	0.555	0.04456
CNAG_06913	NA	46.541	1.392	0.296	3.723e-5
CNAG_05436	NA	60.405	1.38	0.288	2.55e-5
CNAG_08014	NA	92.668	1.379	0.226	3.78e-8
CNAG_04675	NA	3366.807	1.378	0.127	4.461e-25
CNAG_04781	NA	52.115	1.365	0.278	1.522e-5
CNAG_05932	NA	3595.826	1.36	0.11	1.639e-32
CNAG_03169	NA	22.28	1.351	0.417	0.007157
CNAG_03797	NA	15.774	1.341	0.479	0.02335
CNAG_06302	NA	41.464	1.34	0.309	1.781e-4
CNAG_06233	NA	18.499	1.329	0.46	0.0186
CNAG_07826	NA	65.854	1.329	0.251	2.757e-6
CNAG_06574	APP1	184.724	1.326	0.159	8.376e-15
CNAG_06715	NA	74.244	1.324	0.242	1.047e-6
CNAG_02045	NA	26.341	1.323	0.386	0.00419
CNAG_07837	NA	38.613	1.32	0.327	5.451e-4
CNAG_00331	NA	50.9	1.313	0.276	2.955e-5
CNAG_07399	NA	55.646	1.312	0.267	1.586e-5
CNAG_01621	NA	5714.265	1.303	0.081	1.1209999999999996e-54
CNAG_04889	NA	121.274	1.297	0.206	1.455e-8
CNAG_01796	NA	730.197	1.293	0.286	8.537e-5
CNAG_00164	NA	233.266	1.286	0.156	1.579e-14
CNAG_05913	NA	114.263	1.265	0.197	6.819e-9
CNAG_06539	NA	38.715	1.259	0.314	5.874e-4
CNAG_04519	NA	207.881	1.251	0.17	1.439e-11
CNAG_00242	NA	32.14	1.249	0.346	0.002346
CNAG_03467	NA	31.13	1.248	0.367	0.004562
CNAG_02254	LPI12	42.124	1.243	0.297	3.078e-4
CNAG_06102	NA	142.659	1.242	0.203	3.469e-8
CNAG_02192	NA	137.942	1.238	0.217	3.358e-7
CNAG_03141	NA	42.895	1.237	0.295	3.072e-4
CNAG_05735	NA	58.185	1.223	0.272	9.136e-5
CNAG_07076	NA	99.057	1.22	0.218	5.649e-7
CNAG_07831	NA	36.234	1.22	0.323	0.001368
CNAG_05536	NA	56.003	1.215	0.268	7.707e-5
CNAG_07881	NA	20.621	1.213	0.42	0.01866
CNAG_03233	NA	970.935	1.208	0.135	4.019e-17
CNAG_06245	NA	29.842	1.201	0.393	0.01177
CNAG_00132	NA	48.704	1.186	0.294	5.583e-4
CNAG_04934	NA	729.86	1.179	0.112	1.9569999999999998e-23
CNAG_00443	NA	48.957	1.178	0.275	2.2e-4
CNAG_01674	NA	29.867	1.173	0.354	0.005791
CNAG_07767	NA	42.554	1.16	0.324	0.002594
CNAG_05072	NA	26.14	1.159	0.389	0.01455
CNAG_06662	NA	23.32	1.157	0.395	0.01699
CNAG_03327	NA	20.737	1.156	0.432	0.03143
CNAG_07544	NA	26.998	1.133	0.381	0.014880000000000001
CNAG_05381	ITR3C	41.698	1.124	0.313	0.002484
CNAG_02919	NA	929.711	1.115	0.137	3.467e-14
CNAG_02483	NA	51.982	1.113	0.273	4.857e-4
CNAG_03828	NA	72.543	1.099	0.228	2.319e-5
CNAG_06814	SXI1alpha	145.026	1.098	0.196	5.724e-7
CNAG_07958	NA	153.748	1.095	0.175	1.774e-8
CNAG_06188	FZC15	48.102	1.083	0.306	0.002951
CNAG_01841	GLN3	23.635	1.08	0.402	0.03072
CNAG_07587	NA	21.889	1.08	0.413	0.03601
CNAG_00749	NA	50.101	1.069	0.281	0.001231
CNAG_06322	SAS3	539.877	1.068	0.134	1.267e-13
CNAG_04873	NA	162.677	1.064	0.168	1.134e-8
CNAG_05064	NA	29.521	1.063	0.344	0.01081
CNAG_01570	NA	115.582	1.058	0.194	1.244e-6
CNAG_04836	FZC10	54.197	1.052	0.289	0.002116
CNAG_06050	UGE2	91.464	1.052	0.222	3.181e-5
CNAG_05321	NA	50.373	1.049	0.295	0.002853
CNAG_00531	ENA1	447.243	1.042	0.126	1.415e-14
CNAG_07962	NA	47.621	1.041	0.304	0.004183
CNAG_01040	NA	22.684	1.037	0.396	0.03599
CNAG_03709	NA	137.367	1.036	0.176	1.498e-7
CNAG_02601	NA	44.376	1.034	0.314	0.006153
CNAG_07947	NA	594.28	1.029	0.122	3.063e-15
CNAG_06075	NA	1469.397	1.028	0.097	6.62e-24
CNAG_01689	NA	50.217	1.025	0.298	0.003987
CNAG_03892	NA	10986.054	1.023	0.124	1.376e-14
CNAG_01387	NA	555.533	1.021	0.127	7.473e-14
CNAG_06904	NA	123.031	1.014	0.188	1.669e-6
CNAG_06220	NA	1105.307	1.01	0.098	1.881e-22
CNAG_06164	NA	62.812	1.007	0.242	3.367e-4
CNAG_04597	NA	255.268	1.003	0.159	1.415e-8
CNAG_03564	NA	47.9	1.001	0.278	0.002432
