gene	geneName	log2FC_30	padj_30	log2FC_37	padj_37	log2FC_EGTA	padj_EGTA	sig_30	sig_37	sig_EGTA
CNAG_04891	NA	-9.035	2.5719999999999987e-236	-8.727	3.051999999999999e-213	-8.628	1.2429999999999995e-194	yes	yes	yes
CNAG_01954	NA	-8.579	6.9299999999999985e-22	-4.657	2.62e-35	-4.627	7.459999999999999e-48	yes	yes	yes
CNAG_02526	NA	-8.347	2.345e-40	-5.341	1.404e-30	-6.557	1.4669999999999999e-34	yes	yes	yes
CNAG_04142	NA	-6.627	3.684999999999998e-86	-4.046	4.157999999999999e-111	-3.867	7.912999999999996e-131	yes	yes	yes
CNAG_07447	NA	-6.078	0.03824	-1.751	0.481	-1.563	0.6997	yes	NA	NA
CNAG_03867	NA	-6.062	5.55e-17	-3.837	1.045e-21	-2.591	1.317e-8	yes	yes	yes
CNAG_00588	NA	-6.06	6.5029999999999975e-105	-4.372	7.869999999999997e-74	-6.779	9.531999999999996e-208	yes	yes	yes
CNAG_00269	NA	-5.984	2.866999999999999e-85	-3.712	5.488e-6	-5.742	1.085e-21	yes	yes	yes
CNAG_05075	NA	-5.875	1.4599999999999995e-23	-5.91	4.553e-20	-3.39	1.76e-20	yes	yes	yes
CNAG_01052	NA	-5.794	7.079999999999997e-82	-4.203	2.798999999999999e-92	-3.72	1.1679999999999993e-130	yes	yes	yes
CNAG_03833	NA	-5.755	5.35e-5	-2.685	0.01364	0.302	0.7784	yes	yes	NA
CNAG_01272	NA	-5.673	4.4239999999999973e-274	-5.082	0	-3.514	4.6399999999999987e-85	yes	yes	yes
CNAG_05662	PTP1	-5.6	4.194e-46	-4.806	1.0569999999999998e-31	-6.032	5.236999999999999e-160	yes	yes	yes
CNAG_04553	NA	-5.517	4.812e-6	-3.258	3.209e-31	-2.259	2.837e-16	yes	yes	yes
CNAG_02217	CHS7	-5.514	1.9679999999999996e-127	-4.523	1.1789999999999993e-182	-2.511	6.913999999999999e-65	yes	yes	yes
CNAG_03650	NA	-5.343	1.423e-25	-3.932	2.4000000000000002e-30	-3.471	8.876e-21	yes	yes	yes
CNAG_00827	NA	-5.258	5.674e-5	-3.914	3.716e-10	-4.552	1.815e-23	yes	yes	yes
CNAG_01446	HSP12	-5.252	1.444999999999999e-129	-3.246	4.3409999999999977e-206	-2.742	6.981999999999997e-91	yes	yes	yes
CNAG_06347	BLP2	-5.246	3.462999999999999e-148	-3.672	1.410999999999999e-204	-3.534	2.294999999999999e-89	yes	yes	yes
CNAG_00485	NA	-5.041	1.698e-40	-3.974	1.324e-70	-4.454	2.4809999999999996e-101	yes	yes	yes
CNAG_01121	NA	-4.94	8.879999999999998e-185	-4.697	0	-4.859	1.0929999999999992e-291	yes	yes	yes
CNAG_02934	NA	-4.679	7.596e-42	-4.473	8.744999999999998e-89	-3.188	1.3639999999999996e-62	yes	yes	yes
CNAG_03058	NA	-4.504	2.3399999999999995e-127	-3.336	1.5509999999999995e-136	-4.73	0	yes	yes	yes
CNAG_03224	NA	-4.271	1.169e-18	-4.112	2.317e-19	-3.441	5.869e-14	yes	yes	yes
CNAG_04735	MEP1	-4.086	1.0799999999999998e-86	-4.07	1.3299999999999994e-209	-3.972	1.2879999999999996e-125	yes	yes	yes
CNAG_05916	NA	-4.006	3.528e-11	-4.049	3.171e-18	-4.464	1.861e-47	yes	yes	yes
CNAG_05641	NA	-3.902	3.23e-6	-2.064	1.038e-5	-4.534	2.348e-35	yes	yes	yes
CNAG_01960	NA	-3.821	8.521999999999999e-77	-4.997	9.443999999999992e-286	-3.657	4.0089999999999983e-116	yes	yes	yes
CNAG_06493	NA	-3.625	7.079e-9	-1.84	3.693e-5	-4.8	8.404e-20	yes	yes	yes
CNAG_03782	NA	-3.478	0.00479	-4.041	0.001805	-6.574	4.792e-13	yes	yes	yes
CNAG_04105	NA	-3.431	6.751999999999998e-42	-3.016	7.839999999999997e-119	-5.213	0	yes	yes	yes
CNAG_04837	MLN1	-3.109	0.003211	-2.226	0.003047	-4.437	1.151e-23	yes	yes	yes
CNAG_03492	NA	-3.106	2.146e-44	-2.334	9.678999999999998e-84	-4.34	5.289999999999997e-147	yes	yes	yes
CNAG_02734	NA	-2.913	0.008192	-5.356	1.078e-4	-3.538	4.605e-11	yes	yes	yes
CNAG_00749	NA	-2.562	1.218e-4	-4.056	1.122e-14	-0.866	0.1205	yes	yes	NA
CNAG_02706	NA	-2.184	0.001455	-3.292	2.591e-40	-4.558	3.974e-66	yes	yes	yes
CNAG_05994	NA	-2.176	2.24e-9	-1.625	5.337e-11	-4.633	2.622999999999999e-152	yes	yes	yes
CNAG_07912	NA	-0.529	0.822	0.489	0.9303	-4.824	7.266e-4	NA	NA	yes
CNAG_01560	NA	0.659	0.6246	-4.128	0.007912	0.383	0.6959	NA	yes	NA
