ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0003735	structural constituent of ribosome	128	59	CNAG_00034,CNAG_00116,CNAG_00370,CNAG_00655,CNAG_00672,CNAG_00771,CNAG_00779,CNAG_00819,CNAG_01152,CNAG_01153,CNAG_01170,CNAG_01181,CNAG_01224,CNAG_01300,CNAG_01332,CNAG_01455,CNAG_01480,CNAG_01486,CNAG_01628,CNAG_01650,CNAG_01884,CNAG_01951,CNAG_02037,CNAG_02144,CNAG_02234,CNAG_02330,CNAG_02754,CNAG_02811,CNAG_02928,CNAG_03000,CNAG_03015,CNAG_03053,CNAG_03198,CNAG_03221,CNAG_03303,CNAG_03510,CNAG_03780,CNAG_04004,CNAG_04021,CNAG_04068,CNAG_04114,CNAG_04445,CNAG_04448,CNAG_04726,CNAG_04762,CNAG_04799,CNAG_04883,CNAG_05232,CNAG_05525,CNAG_05556,CNAG_05635,CNAG_05762,CNAG_05904,CNAG_06447,CNAG_06605,CNAG_06633,CNAG_06811,CNAG_06847,CNAG_07839,	46.1	13.23	34.94	7.97306917536e-55	1.99326729384e-53	1.99326729384e-53
GO:0005198	structural molecule activity	155	60	CNAG_00034,CNAG_00116,CNAG_00370,CNAG_00655,CNAG_00672,CNAG_00771,CNAG_00779,CNAG_00819,CNAG_01152,CNAG_01153,CNAG_01170,CNAG_01181,CNAG_01199,CNAG_01224,CNAG_01300,CNAG_01332,CNAG_01455,CNAG_01480,CNAG_01486,CNAG_01628,CNAG_01650,CNAG_01884,CNAG_01951,CNAG_02037,CNAG_02144,CNAG_02234,CNAG_02330,CNAG_02754,CNAG_02811,CNAG_02928,CNAG_03000,CNAG_03015,CNAG_03053,CNAG_03198,CNAG_03221,CNAG_03303,CNAG_03510,CNAG_03780,CNAG_04004,CNAG_04021,CNAG_04068,CNAG_04114,CNAG_04445,CNAG_04448,CNAG_04726,CNAG_04762,CNAG_04799,CNAG_04883,CNAG_05232,CNAG_05525,CNAG_05556,CNAG_05635,CNAG_05762,CNAG_05904,CNAG_06447,CNAG_06605,CNAG_06633,CNAG_06811,CNAG_06847,CNAG_07839,	38.7	11.11	25.89	3.53124807367e-50	4.41406009209e-49	8.82812018418e-49
GO:0003674	molecular function	3820	165	CNAG_00034,CNAG_00100,CNAG_00116,CNAG_00232,CNAG_00370,CNAG_00410,CNAG_00413,CNAG_00417,CNAG_00520,CNAG_00655,CNAG_00672,CNAG_00709,CNAG_00716,CNAG_00719,CNAG_00750,CNAG_00754,CNAG_00771,CNAG_00779,CNAG_00797,CNAG_00819,CNAG_00836,CNAG_00904,CNAG_00934,CNAG_01152,CNAG_01153,CNAG_01158,CNAG_01170,CNAG_01181,CNAG_01199,CNAG_01224,CNAG_01273,CNAG_01300,CNAG_01332,CNAG_01428,CNAG_01455,CNAG_01470,CNAG_01480,CNAG_01485,CNAG_01486,CNAG_01496,CNAG_01522,CNAG_01577,CNAG_01592,CNAG_01628,CNAG_01639,CNAG_01648,CNAG_01650,CNAG_01657,CNAG_01799,CNAG_01884,CNAG_01946,CNAG_01951,CNAG_02037,CNAG_02099,CNAG_02100,CNAG_02128,CNAG_02144,CNAG_02234,CNAG_02301,CNAG_02330,CNAG_02336,CNAG_02418,CNAG_02449,CNAG_02459,CNAG_02460,CNAG_02529,CNAG_02588,CNAG_02691,CNAG_02714,CNAG_02754,CNAG_02794,CNAG_02811,CNAG_02849,CNAG_02928,CNAG_02984,CNAG_03000,CNAG_03015,CNAG_03048,CNAG_03053,CNAG_03198,CNAG_03221,CNAG_03274,CNAG_03275,CNAG_03281,CNAG_03298,CNAG_03303,CNAG_03476,CNAG_03509,CNAG_03510,CNAG_03520,CNAG_03592,CNAG_03634,CNAG_03780,CNAG_03891,CNAG_03892,CNAG_04004,CNAG_04021,CNAG_04068,CNAG_04082,CNAG_04114,CNAG_04179,CNAG_04219,CNAG_04259,CNAG_04308,CNAG_04360,CNAG_04383,CNAG_04441,CNAG_04445,CNAG_04448,CNAG_04467,CNAG_04677,CNAG_04726,CNAG_04758,CNAG_04762,CNAG_04799,CNAG_04883,CNAG_05042,CNAG_05050,CNAG_05059,CNAG_05144,CNAG_05150,CNAG_05199,CNAG_05232,CNAG_05340,CNAG_05465,CNAG_05525,CNAG_05556,CNAG_05635,CNAG_05638,CNAG_05658,CNAG_05725,CNAG_05762,CNAG_05827,CNAG_05896,CNAG_05904,CNAG_05932,CNAG_06106,CNAG_06112,CNAG_06113,CNAG_06140,CNAG_06150,CNAG_06208,CNAG_06248,CNAG_06371,CNAG_06379,CNAG_06447,CNAG_06515,CNAG_06566,CNAG_06605,CNAG_06633,CNAG_06663,CNAG_06745,CNAG_06746,CNAG_06747,CNAG_06770,CNAG_06811,CNAG_06847,CNAG_06900,CNAG_06923,CNAG_07363,CNAG_07448,CNAG_07660,CNAG_07695,CNAG_07807,CNAG_07839,	4.3	1.24	4.43	3.31300860657e-10	2.76084050548e-09	8.28252151644e-09
GO:0003723	RNA binding	307	28	CNAG_00034,CNAG_00116,CNAG_00232,CNAG_00410,CNAG_00417,CNAG_01158,CNAG_01428,CNAG_01522,CNAG_01628,CNAG_01639,CNAG_02128,CNAG_02144,CNAG_02301,CNAG_02714,CNAG_02928,CNAG_03015,CNAG_03053,CNAG_03281,CNAG_04021,CNAG_04259,CNAG_04441,CNAG_04448,CNAG_04799,CNAG_04883,CNAG_05827,CNAG_06113,CNAG_06248,CNAG_06605,	9.1	2.62	3.11	1.82550497599e-06	1.14094061e-05	4.56376243998e-05
GO:0019843	rRNA binding	13	4	CNAG_00034,CNAG_02928,CNAG_03015,CNAG_03053,	30.8	8.83	12.57	0.000795221223784	0.00397610611892	0.0198805305946
GO:0016874	ligase activity	99	9	CNAG_00797,CNAG_01522,CNAG_02418,CNAG_02449,CNAG_04082,CNAG_04179,CNAG_05827,CNAG_05896,CNAG_06112,	9.1	2.61	2.87	0.00719397175785	0.0299748823244	0.179849293946
GO:0016491	oxidoreductase activity	430	24	CNAG_00413,CNAG_00716,CNAG_00836,CNAG_01470,CNAG_01485,CNAG_01577,CNAG_01799,CNAG_02099,CNAG_02100,CNAG_02460,CNAG_02794,CNAG_02849,CNAG_02984,CNAG_03275,CNAG_03476,CNAG_04308,CNAG_04467,CNAG_04677,CNAG_05059,CNAG_05658,CNAG_05725,CNAG_06663,CNAG_07363,CNAG_07660,	5.6	1.6	1.74	0.0133359001141	0.0476282146933	0.333397502853
GO:0016746	acyltransferase activity	74	6	CNAG_02099,CNAG_02100,CNAG_03509,CNAG_04383,CNAG_05042,CNAG_06379,	8.1	2.33	2.5	0.0430975663723	0.122548334616	1.0
GO:0051082	unfolded protein binding	23	3	CNAG_05199,CNAG_06106,CNAG_06150,	13.0	3.74	4.21	0.0441174004617	0.122548334616	1.0
